"Date and Time";"ec_state";"EC da água";"Médai do EC";"Hora lig 1";"Hora lig 2";"Hora lig 3"
"2025-10-12 10:27:33";"5";"1,46";"1,48";"0";"0";"0"
"2025-10-12 10:17:33";"5";"1,46";"1,48";"0";"0";"0"
"2025-10-12 10:07:33";"5";"1,46";"1,48";"0";"0";"0"
"2025-10-12 09:57:33";"5";"1,47";"1,48";"0";"0";"0"
"2025-10-12 09:52:42";"5";"1,48";"1,48";"0";"0";"0"
"2025-10-12 09:47:33";"5";"1,46";"1,48";"0";"0";"0"
"2025-10-12 09:37:33";"5";"1,46";"1,48";"0";"0";"0"
"2025-10-12 09:27:33";"5";"1,46";"1,48";"0";"0";"0"
"2025-10-12 09:17:33";"5";"1,47";"1,48";"0";"0";"0"
"2025-10-12 09:07:33";"5";"1,47";"1,48";"0";"0";"0"
"2025-10-12 08:57:33";"5";"1,48";"1,48";"0";"0";"0"
"2025-10-12 08:52:42";"5";"1,48";"1,48";"0";"0";"0"
"2025-10-12 08:47:33";"5";"1,48";"1,48";"0";"0";"0"
"2025-10-12 08:37:33";"5";"1,48";"1,48";"0";"0";"0"
"2025-10-12 08:27:33";"5";"1,48";"1,48";"0";"0";"0"
"2025-10-12 08:17:33";"5";"1,48";"1,48";"0";"0";"0"
"2025-10-12 08:07:33";"5";"1,48";"1,48";"0";"0";"0"
"2025-10-12 07:57:33";"5";"1,48";"1,48";"0";"0";"0"
"2025-10-12 07:52:42";"5";"1,48";"1,48";"0";"0";"0"
"2025-10-12 07:47:33";"5";"1,49";"1,48";"0";"0";"0"
"2025-10-12 07:37:33";"5";"1,5";"1,48";"0";"0";"0"
"2025-10-12 07:27:33";"5";"1,5";"1,48";"0";"0";"0"
"2025-10-12 07:17:33";"5";"1,5";"1,48";"0";"0";"0"
"2025-10-12 07:07:33";"5";"1,49";"1,48";"0";"0";"0"
"2025-10-12 06:57:33";"5";"1,49";"1,48";"0";"0";"0"
"2025-10-12 06:52:42";"5";"1,48";"1,48";"0";"0";"0"
"2025-10-12 06:47:33";"5";"1,54";"1,48";"0";"0";"0"
"2025-10-12 06:37:33";"5";"1,55";"1,48";"0";"0";"0"
"2025-10-12 06:27:33";"5";"1,55";"1,48";"0";"0";"0"
"2025-10-12 06:17:33";"5";"1,55";"1,48";"0";"0";"0"
"2025-10-12 06:07:33";"5";"1,55";"1,48";"0";"0";"0"
"2025-10-12 05:57:34";"5";"1,55";"1,48";"0";"0";"0"
"2025-10-12 05:47:33";"5";"1,55";"1,48";"0";"0";"0"
"2025-10-12 05:37:33";"5";"1,55";"1,48";"0";"0";"0"
"2025-10-12 05:27:33";"5";"1,55";"1,48";"0";"0";"0"
"2025-10-12 05:17:33";"5";"1,54";"1,48";"0";"0";"0"
"2025-10-12 05:07:33";"5";"1,55";"1,48";"0";"0";"0"
"2025-10-12 04:57:33";"5";"1,55";"1,48";"0";"0";"0"
"2025-10-12 04:47:33";"5";"1,56";"1,48";"0";"0";"0"
"2025-10-12 04:37:33";"5";"1,55";"1,48";"0";"0";"0"
"2025-10-12 04:27:33";"5";"1,55";"1,48";"0";"0";"0"
"2025-10-12 04:17:33";"5";"1,55";"1,48";"0";"0";"0"
"2025-10-12 04:07:33";"5";"1,55";"1,48";"0";"0";"0"
"2025-10-12 03:57:33";"5";"1,55";"1,48";"0";"0";"0"
"2025-10-12 03:47:33";"5";"1,55";"1,48";"0";"0";"0"
"2025-10-12 03:37:33";"5";"1,55";"1,48";"0";"0";"0"
"2025-10-12 03:27:33";"5";"1,54";"1,48";"0";"0";"0"
"2025-10-12 03:17:33";"5";"1,55";"1,48";"0";"0";"0"
"2025-10-12 03:07:33";"5";"1,55";"1,48";"0";"0";"0"
"2025-10-12 02:57:33";"5";"1,55";"1,48";"0";"0";"0"
"2025-10-12 02:47:33";"5";"1,55";"1,48";"0";"0";"0"
"2025-10-12 02:37:33";"5";"1,54";"1,48";"0";"0";"0"
"2025-10-12 02:27:33";"5";"1,54";"1,48";"0";"0";"0"
"2025-10-12 02:17:33";"5";"1,53";"1,48";"0";"0";"0"
"2025-10-12 02:07:34";"5";"1,53";"1,48";"0";"0";"0"
"2025-10-12 01:57:33";"5";"1,53";"1,48";"0";"0";"0"
"2025-10-12 01:47:33";"5";"1,53";"1,48";"0";"0";"0"
"2025-10-12 01:37:33";"5";"1,52";"1,48";"0";"0";"0"
"2025-10-12 01:27:33";"5";"1,53";"1,48";"0";"0";"0"
"2025-10-12 01:17:33";"5";"1,54";"1,48";"0";"0";"0"
"2025-10-12 01:07:33";"5";"1,54";"1,48";"0";"0";"0"
